Tournament Wins,School,Season,PPG,Opp PPG,Rank Rating,Kenpom,Seed,SOS,2PPG,2PAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,DRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,FG%,2P%,3P%,FT%
0,Massachusetts,2013-14,67,86,7.09,45.00,8.00,24.00,21.90909091,43.93939394,5.363636364,15.51515152,15.90909091,23.3030303,11.75757576,22.03030303,13.12121212,11.48484848,3.96969697,12.18181818,19.57575758,0.459,0.499,0.346,0.683
0,Kansas State,2013-14,49,56,2.83,44.00,9.00,40.00,18.18181818,37.63636364,6,18.12121212,14.72727273,22.45454545,12.93939394,23,15.24242424,7.666666667,5.666666667,13.72727273,18.33333333,0.434,0.483,0.331,0.656
0,Xavier,2013-14,59,74,3.39,42.00,12.00,18.00,20.44117647,39.70588235,5.117647059,14.70588235,15.58823529,22.64705882,12.82352941,25.32352941,13.08823529,4.735294118,2.176470588,11.29411765,17.58823529,0.47,0.515,0.348,0.688
0,George Washington,2013-14,66,71,4.91,42.00,9.00,126.00,19.75757576,39.33333333,5.666666667,15.57575758,16.66666667,25.60606061,12.57575758,21.63636364,14.18181818,6.060606061,4.727272727,14.12121212,20.06060606,0.463,0.502,0.364,0.651
1,Oregon,2013-14,82,76.5,2.91,40.00,11.00,51.00,19.67647059,38.55882353,7.617647059,19.58823529,19.64705882,25.44117647,11.64705882,23.44117647,14.94117647,7.558823529,5.647058824,10.38235294,15.08823529,0.469,0.51,0.389,0.772
1,Syracuse,2013-14,65,54,3.65,39.00,7.00,37.00,19.17647059,40.23529412,4.911764706,14.85294118,14.88235294,21.02941176,9.5,21.52941176,11.08823529,4.911764706,4.235294118,9.823529412,20.23529412,0.437,0.477,0.331,0.708
2,San Diego State,2013-14,66.7,61,3.78,36.00,10.00,23.00,19.08333333,41.38888889,5.166666667,14.41666667,16.61111111,25.05555556,9.222222222,22.27777778,10.47222222,5.777777778,3.416666667,9.083333333,18.22222222,0.435,0.461,0.358,0.663
1,Saint Louis,2013-14,67,73,8.78,34.00,5.00,93.00,18.79411765,37.29411765,5.588235294,17.67647059,15.47058824,22.20588235,9.117647059,21.67647059,12.55882353,8.823529412,2.941176471,13.44117647,19.08823529,0.444,0.504,0.316,0.697
1,Harvard,2013-14,67,68.5,0.23,33.00,12.00,272.00,18.8125,37.90625,5.75,14.9375,18.34375,25.34375,9.65625,25.96875,16.8125,5.90625,5.4375,11.53125,21.5625,0.465,0.496,0.385,0.724
2,Baylor,2013-14,70.3,61.3,6.35,31.00,6.00,15.00,17.86842105,36.39473684,7.368421053,19.07894737,16.97368421,24.97368421,4.684210526,19.86842105,13.18421053,5.026315789,2.684210526,9.947368421,12.65789474,0.455,0.491,0.386,0.68
0,Oklahoma,2013-14,75,80,7.40,30.00,7.00,38.00,18.90909091,38.84848485,8.636363636,22.78787879,18.21212121,24.3030303,12.24242424,21.48484848,14.84848485,4.666666667,4.121212121,11.78787879,17.96969697,0.447,0.487,0.379,0.749
1,North Dakota State,2013-14,62,69,6.43,29.00,5.00,14.00,21.57575758,38.66666667,5.333333333,14.63636364,16.36363636,21.78787879,8.272727273,22.48484848,11.57575758,6.242424242,4.393939394,9.636363636,17.81818182,0.505,0.558,0.364,0.751
0,New Mexico State,2013-14,69,73,11.44,28.00,7.00,8.00,20.61111111,38.75,5.388888889,14.52777778,19.58333333,28.52777778,11.02777778,20.55555556,13.77777778,7.166666667,3.583333333,10.75,16.69444444,0.488,0.532,0.371,0.686
0,Iowa,2013-14,65,78,7.67,27.00,11.00,64.00,22.06060606,43.57575758,5.787878788,16.54545455,20,27.21212121,10.78787879,25.33333333,16.03030303,8.363636364,2.909090909,11.84848485,16.63636364,0.463,0.506,0.35,0.735
0,North Carolina Central,2013-14,75,93,7.15,26.00,6.00,25.00,19.5,37.85294118,5.411764706,16.02941176,18.67647059,25.64705882,12.41176471,24.47058824,18.11764706,8.911764706,3.441176471,12.79411765,15.85294118,0.462,0.515,0.338,0.728
6,Connecticut,2013-14,71.7,63.8,9.68,25.00,7.00,27.00,17.1,35.55,7.175,18.525,16.1,20.725,7.2,20.525,11.275,5.75,2.65,8.575,16,0.449,0.481,0.387,0.777
2,UCLA,2013-14,73.7,66,9.27,24.00,5.00,85.00,22.81081081,43.05405405,6.189189189,16.2972973,16.97297297,22.67567568,10.02702703,21.21621622,15.97297297,7.945945946,4.297297297,12.05405405,16.54054054,0.489,0.53,0.38,0.749
0,Cincinnati,2013-14,57,61,11.38,24.00,5.00,70.00,17.91176471,38.47058824,5.764705882,17.20588235,15.26470588,21.55882353,11.64705882,25.14705882,13.20588235,8.735294118,5.441176471,11.88235294,17.79411765,0.425,0.466,0.335,0.708
2,Iowa State,2013-14,84.7,79.7,10.59,23.00,3.00,26.00,21.13888889,38.86111111,8.361111111,23.33333333,15.66666667,22.61111111,10.58333333,23.19444444,15.02777778,5.666666667,4.166666667,10.30555556,14.52777778,0.474,0.544,0.358,0.693
